Rec_Num,Unix Time,Filename,Operation,Result
0,1638504701.6437304,temp0.csv,Addition,218.0
1,1638504701.6439128,temp0.csv,Subtraction,182.0
2,1638504701.6439896,temp0.csv,Multiplication,72000.0
3,1638504701.6440358,temp0.csv,Division,0.5555555555555556
4,1638504701.6440752,temp0.csv,Addition,322.0
5,1638504701.6441114,temp0.csv,Subtraction,278.0
6,1638504701.6441467,temp0.csv,Multiplication,252000.0
7,1638504701.6441817,temp0.csv,Division,0.35714285714285715
8,1638504701.644219,temp0.csv,Addition,419.0
9,1638504701.6442537,temp0.csv,Subtraction,381.0
10,1638504701.644289,temp0.csv,Multiplication,0.0
11,1638504701.6443858,temp0.csv,Division,DivBy0
12,1638504701.6444256,temp0.csv,Addition,530.0
13,1638504701.644488,temp0.csv,Subtraction,470.0
14,1638504701.6445258,temp0.csv,Multiplication,1512000.0
15,1638504701.6445625,temp0.csv,Division,0.16534391534391532
0,1638504701.7299907,calc_log.csv,Addition,nan
1,1638504701.7301066,calc_log.csv,Subtraction,nan
2,1638504701.7301676,calc_log.csv,Multiplication,nan
3,1638504701.7302136,calc_log.csv,Division,nan
4,1638504701.7302637,calc_log.csv,Addition,nan
5,1638504701.7303414,calc_log.csv,Subtraction,nan
6,1638504701.7303958,calc_log.csv,Multiplication,nan
7,1638504701.7304451,calc_log.csv,Division,nan
8,1638504701.7304935,calc_log.csv,Addition,nan
9,1638504701.7305646,calc_log.csv,Subtraction,nan
10,1638504701.7306423,calc_log.csv,Multiplication,nan
11,1638504701.7307007,calc_log.csv,Division,nan
12,1638504701.7307513,calc_log.csv,Addition,nan
13,1638504701.7308004,calc_log.csv,Subtraction,nan
14,1638504701.73087,calc_log.csv,Multiplication,nan
15,1638504701.7309406,calc_log.csv,Division,nan
16,1638504701.7309926,calc_log.csv,Addition,nan
17,1638504701.731044,calc_log.csv,Subtraction,nan
18,1638504701.7311168,calc_log.csv,Multiplication,nan
19,1638504701.7312038,calc_log.csv,Division,nan
20,1638504701.7312627,calc_log.csv,Addition,nan
21,1638504701.7313344,calc_log.csv,Subtraction,nan
22,1638504701.7313967,calc_log.csv,Multiplication,nan
23,1638504701.731476,calc_log.csv,Division,nan
24,1638504701.731555,calc_log.csv,Addition,nan
25,1638504701.73163,calc_log.csv,Subtraction,nan
26,1638504701.731685,calc_log.csv,Multiplication,nan
27,1638504701.731737,calc_log.csv,Division,nan
28,1638504701.731791,calc_log.csv,Addition,nan
29,1638504701.7318497,calc_log.csv,Subtraction,nan
30,1638504701.7319126,calc_log.csv,Multiplication,nan
31,1638504701.7319994,calc_log.csv,Division,nan
32,1638504701.732095,calc_log.csv,Addition,nan
33,1638504701.7321749,calc_log.csv,Subtraction,nan
34,1638504701.7322564,calc_log.csv,Multiplication,nan
35,1638504701.7323475,calc_log.csv,Division,nan
36,1638504701.7324224,calc_log.csv,Addition,nan
37,1638504701.7324908,calc_log.csv,Subtraction,nan
38,1638504701.732549,calc_log.csv,Multiplication,nan
39,1638504701.7326226,calc_log.csv,Division,nan
40,1638504701.7326813,calc_log.csv,Addition,nan
41,1638504701.7327805,calc_log.csv,Subtraction,nan
42,1638504701.7328792,calc_log.csv,Multiplication,nan
43,1638504701.7329397,calc_log.csv,Division,nan
44,1638504701.7330017,calc_log.csv,Addition,nan
45,1638504701.7330847,calc_log.csv,Subtraction,nan
46,1638504701.7331479,calc_log.csv,Multiplication,nan
47,1638504701.733237,calc_log.csv,Division,nan
48,1638504701.7333212,calc_log.csv,Addition,nan
49,1638504701.7333844,calc_log.csv,Subtraction,nan
50,1638504701.7334504,calc_log.csv,Multiplication,nan
51,1638504701.7335093,calc_log.csv,Division,nan
52,1638504701.733564,calc_log.csv,Addition,nan
53,1638504701.733637,calc_log.csv,Subtraction,nan
54,1638504701.7337248,calc_log.csv,Multiplication,nan
55,1638504701.7337935,calc_log.csv,Division,nan
56,1638504701.733887,calc_log.csv,Addition,nan
57,1638504701.7339768,calc_log.csv,Subtraction,nan
58,1638504701.7340596,calc_log.csv,Multiplication,nan
59,1638504701.7341464,calc_log.csv,Division,nan
60,1638504701.734229,calc_log.csv,Addition,nan
61,1638504701.7342975,calc_log.csv,Subtraction,nan
62,1638504701.7343931,calc_log.csv,Multiplication,nan
63,1638504701.7344797,calc_log.csv,Division,nan
